nLesions,areaTotal,areaMean,areaStd,distanceMean, distanceStd,weightedDistanceMean,weightedDistanceStd, opticDistanceMean, opticDistanceStd,weightedOpticDistanceMean,weightedOpticDistanceStd,nLesions1,areaTotal1,areaMean1,areaStd1,distanceMean1, distanceStd1,weightedDistanceMean1,weightedDistanceStd1, opticDistanceMean1, opticDistanceStd1,weightedOpticDistanceMean1,weightedOpticDistanceStd1,opticDistance,class
55,6.86E+06,1.25E+05,9.26E+05,2099.7,711.46,1.35E+08,1.00E+09,2283.5,1576.1,2.87E+08,2.13E+09,213,2.45E+07,1.15E+05,1.95E+05,1676.6,571.73,1.89E+08,3.12E+08,1697.5,938.55,1.82E+08,3.48E+08,1080.7,2
1,3.24E+06,3.24E+06,0,458.79,0,1.49E+09,0,0,0,0,0,255,9.79E+06,38402,43530,910.09,351.24,3.48E+07,4.49E+07,820.92,529.05,3.18E+07,4.71E+07,458.79,2
1,7.99E+06,7.99E+06,0,1167.9,0,9.33E+09,0,0,0,0,0,255,2.50E+07,98125,88960,1788.6,573.46,1.77E+08,1.79E+08,1619.9,950.03,1.64E+08,1.95E+08,1167.9,2
88,5.61E+06,63701,5.98E+05,945.45,373.66,5.54E+07,5.19E+08,1651.9,593.96,9.33E+07,8.75E+08,255,1.94E+07,76020,1.08E+05,1278.7,418.53,9.15E+07,1.37E+08,1273.8,504.5,8.93E+07,1.47E+08,869.07,2
548,7.58E+06,13835,3.24E+05,2143.6,223.27,1.25E+07,2.93E+08,3168.5,369.3,2.28E+07,5.33E+08,237,2.67E+07,1.13E+05,2.17E+05,1464.2,383.83,1.55E+08,2.67E+08,1444.9,472.07,1.65E+08,3.49E+08,904.39,3
1,4.78E+06,4.78E+06,0,890.61,0,4.25E+09,0,0,0,0,0,219,1.45E+07,66285,53119,1396.5,437.67,9.32E+07,8.37E+07,1259.9,758.26,8.47E+07,9.34E+07,890.61,3
27,5.90E+06,2.19E+05,1.14E+06,1136.4,636.5,1.86E+08,9.66E+08,1209.3,274.2,3851.6,9107,255,1.91E+07,74889,70106,1233,458.46,9.05E+07,9.80E+07,1163.1,616.35,8.78E+07,1.00E+08,850.98,3
1,3.24E+06,3.24E+06,0,458.78,0,1.49E+09,0,0,0,0,0,255,9.79E+06,38397,46485,908.47,367.02,3.60E+07,4.85E+07,841.13,504.05,3.29E+07,5.06E+07,458.78,3
1,6.94E+06,6.94E+06,0,1107.6,0,7.69E+09,0,0,0,0,0,216,2.09E+07,96980,1.18E+05,1721.7,521.78,1.67E+08,2.22E+08,1548.7,922.91,1.53E+08,2.32E+08,1107.6,3
6,4.34E+06,7.24E+05,1.77E+06,424.65,296.18,6.65E+08,1.63E+09,750.7,371.93,1899.9,1537,237,1.31E+07,55459,78210,1402.6,424.46,7.80E+07,1.18E+08,1265.9,739.51,6.99E+07,1.23E+08,918.44,3
272,7.64E+06,28096,4.63E+05,1992.2,566.65,2.59E+07,4.27E+08,2387.8,1192.5,4.69E+07,7.74E+08,255,2.50E+07,97924,75513,1429.1,452.11,1.43E+08,1.26E+08,1326,444.96,1.26E+08,1.04E+08,920.6,4
1,7.17E+06,7.17E+06,0,1088.7,0,7.81E+09,0,0,0,0,0,242,2.16E+07,89376,1.64E+05,1687.3,603.6,1.69E+08,3.29E+08,1572.6,854.16,1.60E+08,3.33E+08,1088.7,4
493,6.02E+06,12207,2.71E+05,2087.3,388.11,1.06E+07,2.35E+08,1463.7,90.426,6408.1,10555,255,2.28E+07,89354,95648,1338.9,399.95,1.13E+08,1.32E+08,1259.8,658.11,1.13E+08,1.40E+08,865.92,4
2,7.43E+06,3.72E+06,5.25E+06,1523.8,846.97,3.44E+09,4.86E+09,815.12,1152.8,815.12,1152.8,255,2.36E+07,92502,98793,1450,447.42,1.37E+08,1.57E+08,1367.9,678.76,1.29E+08,1.64E+08,924.91,4
74,3.41E+06,46070,3.96E+05,1420.9,77.442,3.59E+07,3.09E+08,990.55,119.05,2749.1,3020.7,229,1.73E+07,75624,2.74E+05,1173.1,338.74,8.61E+07,2.94E+08,1052.6,643.31,8.31E+07,3.97E+08,779.43,4
47,3.85E+06,81860,5.61E+05,1188.8,224.25,3.70E+07,2.54E+08,1133,168.92,1280.8,496.61,255,1.16E+07,45503,50379,927.68,345.72,4.36E+07,5.30E+07,884.49,445.77,4.08E+07,5.52E+07,452.56,FALSE
1,7.06E+06,7.06E+06,0,1109.5,0,7.84E+09,0,0,0,0,0,255,2.13E+07,83644,1.13E+05,1694.5,524.64,1.42E+08,2.04E+08,1500.5,970.7,1.25E+08,2.17E+08,1109.5,FALSE
1,7.60E+06,7.60E+06,0,926.8,0,7.04E+09,0,0,0,0,0,255,2.44E+07,95584,78673,1378.4,470.94,1.32E+08,1.25E+08,1276.4,726.01,1.25E+08,1.33E+08,926.8,FALSE
1,7.31E+06,7.31E+06,0,933,0,6.82E+09,0,0,0,0,0,255,2.36E+07,92698,1.13E+05,1404.8,428.09,1.29E+08,1.68E+08,1280.8,755.21,1.20E+08,1.77E+08,933,FALSE
1,3.20E+06,3.20E+06,0,458.83,0,1.47E+09,0,0,0,0,0,255,9.66E+06,37899,29716,930.65,335.12,3.54E+07,3.21E+07,845.86,515.15,3.24E+07,3.51E+07,458.83,FALSE
3,6.14E+06,2.05E+06,3.55E+06,1480.8,565.62,2.08E+09,3.61E+09,1652.1,1623.6,3.50E+09,6.07E+09,255,3.61E+07,1.42E+05,6.20E+05,1612.3,474.08,2.22E+08,9.59E+08,1553.8,460.9,2.06E+08,8.51E+08,1016.7,TRUE
1,8.00E+06,8.00E+06,0,1173.2,0,9.38E+09,0,0,0,0,0,255,2.56E+07,1.00E+05,1.08E+05,1780.7,552.41,1.80E+08,2.06E+08,1589.8,979.11,1.65E+08,2.27E+08,1173.2,TRUE
1,4.87E+06,4.87E+06,0,900,0,4.38E+09,0,0,0,0,0,255,1.47E+07,57789,69588,1389.9,456.61,8.23E+07,1.12E+08,1249.9,761.07,7.54E+07,1.17E+08,900,TRUE
28,5.82E+06,2.08E+05,1.10E+06,1376.7,691.94,1.76E+08,9.34E+08,1287.4,277.46,2515.9,2134.7,255,2.06E+07,80869,78353,1239.4,453.43,1.01E+08,1.15E+08,1169.8,646.23,9.63E+07,1.21E+08,849.73,TRUE
2,7.44E+06,3.72E+06,5.26E+06,1679.6,1053.9,3.48E+09,4.92E+09,814.51,1151.9,814.51,1151.9,255,2.41E+07,94664,94126,1400.5,422.1,1.33E+08,1.42E+08,1258.4,787.29,1.18E+08,1.58E+08,934.4,TRUE
1,7.08E+06,7.08E+06,0,1076.2,0,7.62E+09,0,0,0,0,0,255,2.14E+07,83902,88967,1772.9,504.07,1.59E+08,1.83E+08,1612.9,889.52,1.46E+08,1.92E+08,1076.2,TRUE
15,3.85E+06,2.56E+05,9.93E+05,1027,421.16,1.16E+08,4.50E+08,1079.1,298.53,1079.1,298.53,241,1.16E+07,48124,64117,946.08,346.95,4.74E+07,6.88E+07,909.43,436.11,4.44E+07,7.09E+07,452.56,TRUE
1,7.17E+06,7.17E+06,0,1088.4,0,7.80E+09,0,0,0,0,0,246,2.17E+07,88011,1.04E+05,1682.5,547.27,1.46E+08,1.92E+08,1473.8,971.27,1.34E+08,2.00E+08,1088.4,2
1,3.44E+06,3.44E+06,0,815.36,0,2.80E+09,0,0,0,0,0,190,1.04E+07,54596,82108,1252.8,390.97,7.19E+07,1.16E+08,1151,634.83,6.91E+07,1.18E+08,815.36,2
1159,86053,74.248,2265.7,1006.4,265.94,72672,2.22E+06,1007.3,622.84,56243,1.72E+06,184,2.05E+07,1.11E+05,3.72E+05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,979.49,2
1,3.46E+06,3.46E+06,0,459.29,0,1.59E+09,0,0,0,0,0,255,1.05E+07,41009,59064,1009.6,318.94,3.92E+07,6.01E+07,945.44,480.36,3.61E+07,6.22E+07,459.29,2
1,3.15E+06,3.15E+06,0,458.71,0,1.45E+09,0,0,0,0,0,255,9.52E+06,37347,29646,914.52,342.67,3.38E+07,3.18E+07,824.54,525.78,3.10E+07,3.46E+07,458.71,2
69,7.00E+06,1.01E+05,8.43E+05,2194.5,271.33,8.91E+07,7.40E+08,1534.7,187.71,3672.1,3398.5,243,2.34E+07,96095,76688,1521,404.99,1.49E+08,1.22E+08,1384.9,704.77,1.34E+08,1.31E+08,877.67,3
1,3.30E+06,3.30E+06,0,458.75,0,1.51E+09,0,0,0,0,0,255,9.97E+06,39102,57319,951.35,336.23,3.53E+07,5.75E+07,891.51,474.28,3.26E+07,5.91E+07,458.75,3
1008,2.84E+06,2816.5,88718,719.18,225.13,1.44E+06,4.51E+07,875.15,140.24,20368,2.17E+05,255,9.78E+06,38360,41814,961.76,311.14,3.65E+07,4.43E+07,837.2,468.04,3.29E+07,4.52E+07,507.95,3
2,7.99E+06,4.00E+06,5.65E+06,1444.5,384.07,4.69E+09,6.63E+09,867.08,1226.2,2601.3,3678.7,255,2.54E+07,99547,1.04E+05,1783.6,530.85,1.78E+08,1.97E+08,1584.9,978.74,1.62E+08,2.19E+08,1172.9,3
368,5.54E+06,15054,2.89E+05,1948.4,448.66,1.29E+07,2.47E+08,2096.8,958.44,2.17E+07,4.16E+08,255,1.80E+07,70689,97319,1271,424.41,9.15E+07,1.55E+08,1228.7,454.31,9.12E+07,1.36E+08,854.78,3
1,3.97E+06,3.97E+06,0,645.55,0,2.57E+09,0,0,0,0,0,242,1.28E+07,52930,92318,1035.3,290.42,5.51E+07,1.02E+08,909.47,556.32,4.91E+07,1.03E+08,645.55,3
151,3.85E+06,25482,3.13E+05,1169.8,331.77,1.15E+07,1.42E+08,1377.1,809.78,2.95E+07,3.62E+08,255,1.16E+07,45516,42889,909.85,370.15,4.10E+07,4.48E+07,959.88,478.03,4.38E+07,5.17E+07,452.55,4
1,7.17E+06,7.17E+06,0,1088.2,0,7.80E+09,0,0,0,0,0,224,2.16E+07,96531,1.39E+05,1711.2,542.3,1.77E+08,2.77E+08,1517.4,955.79,1.62E+08,2.86E+08,1088.2,4
8,7.34E+06,9.17E+05,2.59E+06,1571.9,557.75,8.20E+08,2.32E+09,1349.5,1280.6,1.51E+09,4.27E+09,255,2.38E+07,93359,1.06E+05,1388.1,444.57,1.29E+08,1.56E+08,1318.2,611.66,1.26E+08,1.64E+08,893.84,4
1,7.89E+06,7.89E+06,0,1160.1,0,9.15E+09,0,0,0,0,0,255,3.37E+07,1.32E+05,3.91E+05,1769.7,558.82,2.12E+08,5.18E+08,1585.3,964.51,2.05E+08,6.98E+08,1160.1,4
1,4.94E+06,4.94E+06,0,898.12,0,4.44E+09,0,0,0,0,0,195,1.51E+07,77314,1.24E+05,1429.5,439.97,1.24E+08,2.13E+08,1280.5,775.95,1.14E+08,2.19E+08,898.12,4
